,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tnf,54.88790948,4.887675923,0.444237852,11.00238509,3.72E-28,7.44E-24
Cxcl10,84.24246922,3.462135922,0.428724947,8.075424454,6.72E-16,6.72E-12
Cd69,23.38902808,4.550204244,0.585769652,7.767907106,7.98E-15,5.32E-11
Ccl4,26.0816699,4.208361977,0.620014665,6.787520063,1.14E-11,4.56E-08
Mmp13,32.4186843,3.903020225,0.573388208,6.806941912,9.97E-12,4.56E-08
Tnfaip2,144.8172844,1.399364713,0.232831493,6.010203748,1.85E-09,6.17E-06
Ttr,8761.057075,-7.98666984,1.385372326,-5.764998833,8.17E-09,2.33E-05
Icam1,140.8135349,1.307799248,0.229564969,5.696858947,1.22E-08,3.05E-05
Gbp5,78.62254155,1.061857092,0.190123726,5.585084591,2.34E-08,5.19E-05
Cd40,74.37035846,2.463666738,0.445350756,5.531969361,3.17E-08,6.33E-05
Ccl3,32.54392355,2.012960809,0.368595833,5.46115997,4.73E-08,8.60E-05
Slamf7,24.13939013,2.927680558,0.550249152,5.320645288,1.03E-07,0.00017229
Nos2,48.65148851,2.211261393,0.435434292,5.078289506,3.81E-07,0.000585774
Il27,12.42235482,4.08189809,0.821412148,4.969366597,6.72E-07,0.00095936
Socs3,65.52634064,1.054468656,0.218768947,4.820010659,1.44E-06,0.001913529
Fam26f,18.23563748,1.747778974,0.366323853,4.771130687,1.83E-06,0.002217698
Mmp12,17.06557467,2.998943649,0.629326438,4.76532284,1.89E-06,0.002217698
Cxcl2,9.99497134,4.344818196,0.916885694,4.738669416,2.15E-06,0.002389693
Il12b,15.79366107,4.029936539,0.854194133,4.717822782,2.38E-06,0.002508657
Slfn2,58.79413471,1.705483661,0.364785148,4.675310028,2.94E-06,0.002667604
LOC100861702,4.534539807,-4.980048089,1.064353523,-4.678941708,2.88E-06,0.002667604
Bcl2a1b,33.75813241,1.50865041,0.321672319,4.690022494,2.73E-06,0.002667604
Wdr86,21.73655301,-3.280629712,0.719275163,-4.561021819,5.09E-06,0.00442544
Tep1,144.3489421,-0.580830914,0.130458579,-4.452224744,8.50E-06,0.007080325
Tnip3,10.09398299,2.981411187,0.6716268,4.43908907,9.03E-06,0.007225427
Gpnmb,239.2233756,1.45352664,0.337108675,4.31174499,1.62E-05,0.012456206
Lyz2,453.2739577,1.09614427,0.260710533,4.204449499,2.62E-05,0.019313255
Irg1,110.1642875,2.972308976,0.708195536,4.197017384,2.70E-05,0.019313255
Ptgs2,46.31866278,1.160976827,0.281515334,4.12402696,3.72E-05,0.025669808
Spint1,200.8028008,0.585941655,0.142863168,4.101418608,4.11E-05,0.027368153
Gm11428,17.23131495,1.946524974,0.482591055,4.033487472,5.50E-05,0.035446047
Il1rn,57.69442516,2.878689793,0.720260439,3.996734564,6.42E-05,0.040128867
LOC100862257,201.5150796,-4.660984113,1.180403481,-3.948636366,7.86E-05,0.04761747
Csf2rb2,47.96100675,0.991561012,0.252013588,3.934553762,8.34E-05,0.04761747
Slc4a5,49.90230804,-5.243521165,1.331495549,-3.938068866,8.21E-05,0.04761747
